entity_id,trip_id,route_id,start_time,start_date,stop_id,stop_sequence,arrival_delay_sec,arrival_delay_min,arrival_time,departure_delay_sec,departure_time,fetched_at
20260311_220536_1,151.090326.127.1135,4T.C.151,11:35:00,20260311,2000213,1,0,0.0,0,0,0,2026-03-11T22:06:00.385067
20260311_220536_1,151.090326.127.1135,4T.C.151,11:35:00,20260311,229268,2,0,0.0,0,0,0,2026-03-11T22:06:00.385126
20260311_220536_1,151.090326.127.1135,4T.C.151,11:35:00,20260311,230246,3,0,0.0,0,0,0,2026-03-11T22:06:00.385159
20260311_220536_1,151.090326.127.1135,4T.C.151,11:35:00,20260311,24303,4,-429,-7.2,1773209270,0,1773209474,2026-03-11T22:06:00.385211
20260311_220536_1,151.090326.127.1135,4T.C.151,11:35:00,20260311,2444192,5,-495,-8.2,1773212924,0,1773213298,2026-03-11T22:06:00.385243
20260311_220536_1,151.090326.127.1135,4T.C.151,11:35:00,20260311,24402,6,-550,-9.2,1773215809,239,1773216599,2026-03-11T22:06:00.385274
20260311_220536_1,151.090326.127.1135,4T.C.151,11:35:00,20260311,2450165,7,-911,-15.2,1773223188,0,1773223864,2026-03-11T22:06:00.385304
20260311_220536_1,151.090326.127.1135,4T.C.151,11:35:00,20260311,246021,8,-563,-9.4,0,0,0,2026-03-11T22:06:00.385355
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,2000213,1,0,0.0,0,0,0,2026-03-11T22:06:00.385462
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,229268,2,57,0.9,1773196077,264,1773196284,2026-03-11T22:06:00.385498
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,230246,3,-118,-2.0,1773196621,64,1773196804,2026-03-11T22:06:00.385529
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,24303,4,151,2.5,1773207751,759,1773208359,2026-03-11T22:06:00.385558
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,24392,5,500,8.3,1773210800,514,1773210814,2026-03-11T22:06:00.385589
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,24462,6,231,3.9,1773212331,245,1773212345,2026-03-11T22:06:00.385676
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,24402,7,-282,-4.7,1773214817,503,1773215603,2026-03-11T22:06:00.385755
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,24472,8,-436,-7.3,1773217963,0,1773218172,2026-03-11T22:06:00.385811
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,244866,9,-376,-6.3,1773218923,0,1773219038,2026-03-11T22:06:00.385853
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,24552,10,-28,-0.5,1773223171,31,1773223231,2026-03-11T22:06:00.385884
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,24522,11,0,0.0,0,0,0,2026-03-11T22:06:00.385915
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,2450165,12,-1113,-18.6,1773224786,0,1773225116,2026-03-11T22:06:00.385946
20260311_220536_2,153.090326.127.1100,4T.C.153,11:00:00,20260311,246021,13,-886,-14.8,0,0,0,2026-03-11T22:06:00.385973
20260311_220536_3,171.090326.127.1920,4T.C.171,19:20:00,20260311,247021,1,0,0.0,0,565,1773217765,2026-03-11T22:06:00.386074
